ID,Airport,City,Country,Code
7335,Majoor Henry Fernandes Airport,Nieuw Nickerie,Suriname,ICK
7336,Vincent Fayks Airport,Paloemeu,Suriname,OEM
7339,Stoelmans Eiland Airstrip,Stoelmans Eiland,Suriname,SMZ
7340,Totness Airstrip,Totness,Suriname,TOT
7341,Wageningen Airstrip,Wageningen,Suriname,AGI
7342,Kaieteur International Airport,Kaieteur Falls,Guyana,KIA
7343,Codela Airport,Guapiles,Costa Rica,CSC
7346,Orinduik Airport,Orinduik,Guyana,ORJ
7347,Annai Airport,Annai,Guyana,NAI
7349,Imbaimadai Airport,Imbaimadai,Guyana,IMB
7350,Kamarang Airport,Kamarang,Guyana,KAR
7351,Mabaruma Airport,Mabaruma,Guyana,USI
7352,Mahdia Airport,Mahdia,Guyana,MHA
7353,Dr. Augusto Roberto Fuster International Airport,Pedro Juan Caballero,Paraguay,PJC
7354,Alcides Fernandez Airport,Acandi,Colombia,ACD
7355,Los Colonizadores Airport,Saravena,Colombia,RVE
7356,La Chorrera Airport,La Chorrera,Colombia,LCR
7358,La Macarena,La Macarena,Colombia,LMC
7359,Villa Garzon Airport,Villa Garzon,Colombia,VGZ
7360,El Bagre Airport,El Bagre,Colombia,EBG
7361,Juan H. White,Caucasia,Colombia,CAQ
7362,Mandinga Airport,Condoto,Colombia,COG
7363,Golfo de Morrosquillo Airport,Tolu,Colombia,TLU
7364,Cabo Frio International Airport,Cabo Frio,Brazil,CFB
7367,Sinop Airport,Sinop,Brazil,OPS
7368,Gurupi Airport,Gurupi,Brazil,GRP
7369,Campo Alegre Airport,Santana do Araguaia,Brazil,CMP
7370,Breves Airport,Breves,Brazil,BVS
7371,Soure Airport,Soure,Brazil,SFK
7372,Julio Belem Airport,Parintins,Brazil,PIN
7373,Barreiras Airport,Barreiras,Brazil,BRA
7374,Confresa Airport,Santa Terezinha,Brazil,STZ
7375,Minacu Airport,Minacu,Brazil,MQH
7376,Araguaina Airport,Araguaina,Brazil,AUX
7377,Novo Aripuana Airport,Novo Aripuana,Brazil,NVP
7378,Bom Futuro Airport,Lucas do Rio Verde,Brazil,LVR
7379,Franca Airport,Franca,Brazil,FRC
7380,Dourados Airport,Dourados,Brazil,DOU
7381,Labrea Airport,Labrea,Brazil,LBR
7382,Rondonopolis Airport,Rondonopolis,Brazil,ROO
7383,Tancredo Thomaz de Faria Airport,Guarapuava,Brazil,GPB
7384,Joacaba Airport,Joacaba,Brazil,JCB
7388,Edinburgh Waverly Station,Edinburgh,UK,ZXE
7394,General leite de Castro Airport,Rio Verde,Brazil,RVD
7395,Araxa Airport,Araxa,Brazil,AAX
7396,Maues Airport,Maues,Brazil,MBZ
7397,Borba Airport,Borba,Brazil,RBB
7398,Coari Airport,Coari,Brazil,CIZ
7399,Barcelos Airport,Barcelos,Brazil,BAZ
7406,Diamantino Airport,Diamantino,Brazil,DMT
7407,Guanambi Airport,Guanambi,Brazil,GNM
7408,Tsletsi Airport,Djelfa,Algeria,QDJ
7411,Lucapa Airport,Lucapa,Angola,LBZ
7412,Kapanda Airport,Kapanda,Angola,KNP
7413,Am Timan Airport,Am Timan,Chad,AMC
7414,Sharq Al-Owainat Airport,Sharq Al-Owainat,Egypt,GSQ
7416,Awasa Airport,Awasa,Ethiopia,AWA
7417,Jijiga Airport,Jijiga,Ethiopia,JIJ
7418,Mekane Salam Airport,Mekane Selam,Ethiopia,MKS
7419,Debre Marqos,Debre Marqos,Ethiopia,DBM
7420,Debre Tabor Airport,Debre Tabor,Ethiopia,DBT
7421,Harar Meda Airport,Debre Zeyit,Ethiopia,QHR
7422,Robe Airport,Goba,Ethiopia,GOB
7423,Mayumba Airport,Mayumba,Gabon,MYB
7424,Mara Serena Airport,Masai Mara,Kenya,MRE
7427,Rumbek Airport,Rumbek,Sudan,RBX
